# target_path	level	source_hint	expected_md5	note
neogeo.zip	recommended	neogeo.zip		Neo Geo BIOS archive for FBNeo/Neo Geo content
fbneo/hiscore.dat	optional	fbneo/hiscore.dat		FBNeo hiscore support data
disksys.rom	recommended	disksys.rom	ca30b50f880eb660a320674ed365ef7a	Famicom Disk System BIOS
gb_bios.bin	recommended	gb_bios.bin	32fbbd84168d3482956eb3c5051637f5	Game Boy boot ROM
gbc_bios.bin	recommended	gbc_bios.bin	dbfce9db9deaa2567f6a84fde55f9680	Game Boy Color boot ROM
gba_bios.bin	required	gba_bios.bin	a860e8c0b6d573d191e4ec7db1b1e4f6	Game Boy Advance BIOS
bios_CD_E.bin	recommended	bios_CD_E.bin	e66fa1dc5820d254611fdcdba0662372	Mega-CD Europe BIOS
bios_CD_U.bin	recommended	bios_CD_U.bin	854b9150240a198070150e4566ae1290	Sega CD US BIOS variant used by current local set
bios_CD_J.bin	recommended	bios_CD_J.bin	278a9397d192149e84e820ac621a8edd	Mega-CD Japan BIOS
syscard3.pce	recommended	syscard3.pce	38179df8f4ac870017db21ebcbf53114	PC Engine CD System Card 3
scph5500.bin	recommended	scph5500.bin	8dd7d5296a650fac7319bce665a6a53c	PlayStation JP BIOS
scph5501.bin	recommended	scph5501.bin	490f666e1afb15b7362b406ed1cea246	PlayStation US BIOS
scph5502.bin	recommended	scph5502.bin	32736f17079d0b2b7024407c39bd3050	PlayStation EU BIOS
psxonpsp660.bin	optional	psxonpsp660.bin	c53ca5908936d412331790f4426c6c33	PSP PSX BIOS alternative
kick33180.A500	optional	kick33180.A500	85ad74194e87c08904327de1a9443b7a	A500 Kickstart 1.2
kick34005.A500	required	kick34005.A500	82a21c1890cae844b3df741f2762d48d	A500 Kickstart 1.3
kick37175.A500	optional	kick37175.A500	dc10d7bdd1b6f450773dfb558477c230	A500+ Kickstart 2.04
kick37350.A600	optional	kick37350.A600	465646c9b6729f77eea5314d1f057951	A600 Kickstart 2.05
kick40063.A600	optional	kick40063.A600	e40a5dfb3d017ba8779faba30cbd1c8e	A600 Kickstart 3.1
kick39106.A1200	optional	kick39106.A1200	b7cc148386aa631136f510cd29e42fc3	A1200 Kickstart 3.0
kick40068.A1200	required	kick40068.A1200	646773759326fbac3b2311fd8c8793ee	A1200 Kickstart 3.1
kick40068.A4000	optional	kick40068.A4000	9bdedde6a4f33555b4a270c8ca53297d	A4000 Kickstart 3.1
kick34005.CDTV	optional	kick34005.CDTV	89da1838a24460e4b93f4f0c5d92d48d	CDTV extended ROM
kick40060.CD32	required	kick40060.CD32	5f8924d013dd57a89cf349f4cdedc6b1	CD32 Kickstart
kick40060.CD32.ext	required	kick40060.CD32.ext	bb72565701b1b6faece07d68ea5da639	CD32 extended ROM
MSX.ROM	required	MSX.ROM	364a1a579fe5cb8dba54519bcfcdac0d	fMSX MSX BIOS
MSX2.ROM	required	MSX2.ROM	ec3a01c91f24fbddcbcab0ad301bc9ef	fMSX MSX2 BIOS
MSX2EXT.ROM	required	MSX2EXT.ROM	2183c2aff17cf4297bdb496de78c2e8a	fMSX MSX2 ExtROM
MSX2P.ROM	required	Machines/Shared Roms/MSX2P.rom	847cc025ffae665487940ff2639540e5	fMSX MSX2+ BIOS
MSX2PEXT.ROM	required	Machines/Shared Roms/MSX2PEXT.rom	7c8243c71d8f143b2531f01afa6a05dc	fMSX MSX2+ ExtROM
FMPAC.ROM	optional	Machines/Shared Roms/FMPAC.rom	6f69cc8b5ed761b03afd78000dfb0e19	fMSX optional FM-PAC BIOS
Databases/msxromdb.xml	required	Databases/msxromdb.xml		blueMSX databases tree
Machines/Shared Roms/MSX.rom	required	Machines/Shared Roms/MSX.rom	364a1a579fe5cb8dba54519bcfcdac0d	blueMSX machines tree
